,,,,,,,,,,,,,,
Rules of scores:,,,,,,,,,,,,,,
1.Winner team will score 3 points,,,,,,,,,,,,,,
2.Draw team will score 1 point ,,,,,,,,,,,,,,
3.Loser team will have no points,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SN,HS FUTSAL  GIRLS-League game,,,Goal Difference,Winner House Points,Time,,,,,,,,
1,Mechi ,Vs,Koshi,6-1=5,Koshi=6,15 mins for each half,,,,,,,,
2,Karnali A,Vs,Mahakali,3-1=2,Karnali A=6,,,,,,,,,
3,Karnali B,Vs,Koshi,12-2=10,Mahakali=3,,,,,,,,,
4,Mechi ,Vs,Mahakali,1-0=1,Mechi=0,,,,,,,,,
5,Karnali A,Vs,Karnali B,11-0=11,,,,,,,,,,
6,Koshi,Vs,Mahakali,,,,,,,,,,,
7,Mechi ,Vs,Karnali A,,,,,,,,,,,
8,Mahakali,Vs,Karnali B,,,,,,,,,,,
9,Karnali A,Vs,Koshi,,,,,,,,,,,
10,Mechi ,Vs,Karnali B,,,,,,,,,,,
"Note: Each team will play one game against every other team in the first round. The top two teams based on their scores will qualify for the final, where they will face each other.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SN,HS BASKETBALL BOYS-League game,,,Score Difference,Winner House Points,Time,,SN,HS BASKETBALL GIRLS-League game,,,Goal Difference,Points,Time
1,Mechi ,Vs,Koshi,69-23=46,Mahakali=6,8 mins for each Quarter,,1,Mechi ,Vs,Koshi,,,8 mins for each Quarter
2,Karnali A,Vs,Mahakali,54-0=54,Karnali B=6,,,2,Karnali A,Vs,Mahakali,,,
3,Karnali B,Vs,Koshi,30-16=14,Koshi=3,,,3,Karnali B,Vs,Koshi,,,
4,Mechi ,Vs,Mahakali,61-9=52,Mechi=0,,,4,Mechi ,Vs,Mahakali,,,
5,Karnali A,Vs,Karnali B,23-18=5,,,,5,Karnali A,Vs,Karnali B,,,
6,Koshi,Vs,Mahakali,,,,,6,Koshi,Vs,Mahakali,,,
7,Mechi ,Vs,Karnali A,,,,,7,Mechi ,Vs,Karnali A,,,
8,Mahakali,Vs,Karnali B,,,,,8,Mahakali,Vs,Karnali B,,,
9,Karnali A,Vs,Koshi,,,,,9,Karnali A,Vs,Koshi,,,
10,Mechi ,Vs,Karnali B,,,,,10,Mechi ,Vs,Karnali B,,,
"Note: Each team will play one game against every other team in the first round. The top two teams based on their scores will qualify for the final, where they will face each other.																",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SN,HS CRICKSAL BOYS-League game,,,Score Difference,Points,Time,,SN,HS CRICKSAL GIRLS-League game,,,Goal Difference,Points,Time
,Pole A,,Pole B,,,8 overs,,1,Mechi ,Vs,Koshi,,,8 overs
,Koshi B,,Koshi A,,,,,2,Karnali ,Vs,Mahakali,,,
,Mahakali,,Karnali A,,,,,3,Mechi ,Vs,Karnali ,,,
,Karnali B,,Mechi B,,,,,4,Koshi,Vs,Mahakali,,,
,Mechi A,,,,,,,5,Karnali ,Vs,Koshi,,,
,,,,,,,,6,Mechi ,Vs,Mahakali,,,
,,,,,,,,,,,,,,
1,Koshi B Vs Mahakali,,Koshi A Vs Karnali A,,,,,,,,,,,
2,Karnali B Vs Mechi A,,Mechi B Vs Koshi A,,,,,,"Note: Each team will play one game against every other team in the first round. The top two teams based on their scores will qualify for the final, where they will face each other.																",,,,,
3, Mahakali Vs Karnali  B ,,Karnali A Vs Mechi B,,,,,,,,,,,
4,Koshi B Vs Mechi A,,,,,,,,,,,,,
5, Mechi A Vs Mahakali,,,,,,,,,,,,,
6,Koshi B  Vs Karnali B,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Note:The winner of Pool A will face the runner-up of Pool B, while the winner of Pool B will face the runner-up of Pool A. The top two winners will advance to the final.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Semi final match of cricksal(2 matches),,,,,,,,,,,,,
2,Final match of cricksal,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SN,HS FUTSAL BOYS-League game,,,Score Difference,Points,Time,,,,,,,,
,Pole A,,Pole B,,,20 mins for each half,,,,,,,,
,Koshi B,,Koshi A,,,,,,,,,,,
,Mahakali,,Karnali A,,,,,,,,,,,
,Karnali B,,Mechi A,,,,,,,,,,,
,Mechi B,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1, Mechi B Vs Karnali  B ,,Koshi A Vs Mechi A,,,,,,,,,,,
2, Mahakali Vs Koshi B ,,Mechi A Vs Karnali A,,,,,,,,,,,
3, Mechi B Vs Mahakali ,,Karnali A Vs Koshi A,,,,,,,,,,,
4,Koshi B Vs Karnali B,,,,,,,,,,,,,
5, Mechi B Vs Koshi B,,,,,,,,,,,,,
6, Mahakali Vs Karnali B,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Note:The winner of Pool A will face the runner-up of Pool B, while the winner of Pool B will face the runner-up of Pool A. The top two winners will advance to the final.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,semi final match of futsal(2 matches),,,,,,,,,,,,,
2,Final match of futsal,,,,,,,,,,,,,
